"S0413","KIBITI","PUBLIC","tz-pw"
"S0417","MWAKALELI","PUBLIC","tz-mb"
"S0426","WANGING'OMBE","PUBLIC","tz-nj"
"S0427","MAKAMBAKO","PUBLIC","tz-nj"
"S0429","LUPEMBE","PUBLIC","tz-nj"
"S0436","KAFULE","PUBLIC","tz-mb"
"S0441","KILWA","PUBLIC","tz-li"
"S0446","MGOLOLO","PUBLIC","tz-ir"
"S0447","MDABULO","PUBLIC","tz-ir"
"S0448","SADANI","PUBLIC","tz-ir"
"S0449","J.J.MUNGAI","PUBLIC","tz-ir"
"S0456","KINANGO","PUBLIC","tz-mw"
"S0463","NGOREME","PUBLIC","tz-ma"
"S0464","KILOMBERO","PUBLIC","tz-mo"
"S0467","NYUKI","PUBLIC","tz-zw"
"S0472","IPINDA","PUBLIC","tz-mb"
"S0476","MWANGAZA","PUBLIC","tz-ka"
"S0487","MADUNDA","PUBLIC","tz-nj"
"S0488","RUTABO","PUBLIC","tz-kr"
"S0500","WANIKE","PUBLIC","tz-nj"
"S0501","UWELENI","PUBLIC","tz-ps"
"S0503","LYAKIRIMU","PUBLIC","tz-kl"
"S0507","ITENGULE","PUBLIC","tz-ir"
"S0510","HOROMBO","PUBLIC","tz-kl"
"S0511","HANDENI","PUBLIC","tz-tn"
"S0515","ILULA","PUBLIC","tz-ir"
"S0517","KILI","PUBLIC","tz-tb"
"S0520","BUYANGO","PUBLIC","tz-kr"
"S0521","MATOMBO","PUBLIC","tz-mo"
"S0524","RUJEWA","PUBLIC","tz-mb"
"S0526","MRINGA","PUBLIC","tz-as"
"S0527","ULAYASI","PUBLIC","tz-nj"
"S0528","SABA SABA","PUBLIC","tz-mt"
"S0530","NDWIKA GIRLS","PUBLIC","tz-mt"
"S0533","SARWATT","PUBLIC","tz-my"
"S0535","MAKOGA","PUBLIC","tz-nj"
"S0537","ST. PAUL'S LIULI","PUBLIC","tz-rv"
"S0538","VWAWA","PUBLIC","tz-mb"
"S0539","MAGU","PUBLIC","tz-mw"
"S0540","MAPOSENI","PUBLIC","tz-rv"
"S0541","MARAMBA","PUBLIC","tz-tn"
"S0542","OLDADAI","PUBLIC","tz-as"
"S0543","MANEROMANGO","PUBLIC","tz-pw"
"S0544","MKUU","PUBLIC","tz-kl"
"S0545","KIAGATA","PUBLIC","tz-ma"
"S0546","PAMBA","PUBLIC","tz-mw"
"S0547","MAZWI","PUBLIC","tz-rk"
"S0548","SHAMBALAI","PUBLIC","tz-tn"
"S0549","LUGOBA","PUBLIC","tz-pw"
"S0550","BUGENE","PUBLIC","tz-kr"
"S0551","NACHINGWEA","PUBLIC","tz-li"
"S0552","MAGOTO","PUBLIC","tz-ma"
"S0553","NEWALA","PUBLIC","tz-mt"
"S0554","NGUDU","PUBLIC","tz-mw"
"S0555","BUNGU","PUBLIC","tz-tn"
"S0556","MAKONGORO","PUBLIC","tz-ma"
"S0559","BWABUKI","PUBLIC","tz-kr"
"S0564","BUSWELU","PUBLIC","tz-mw"
"S0580","IGOWOLE","PUBLIC","tz-ir"
"S0581","ILEJE","PUBLIC","tz-mb"
"S0583","MAZINYUNGU","PUBLIC","tz-mo"
"S0585","MUNANILA","PUBLIC","tz-km"
"S0591","RUANDA","PUBLIC","tz-rv"
"S0592","LUNDO DAY","PUBLIC","tz-rv"
"S0593","HAGATI","PUBLIC","tz-rv"
"S0594","FRANKWESTON","PUBLIC","tz-rv"
"S0595","RUVUMA","PUBLIC","tz-rv"
"S0596","LIWALE DAY","PUBLIC","tz-li"
"S0597","KIPATIMU","PUBLIC","tz-li"
"S0598","MTAMA","PUBLIC","tz-li"
"S0599","MNERO","PUBLIC","tz-li"
"S0600","BUNDA","PUBLIC","tz-ma"
"S0601","SERENGETI DAY","PUBLIC","tz-ma"
"S0602","MANDA","PUBLIC","tz-nj"
"S0603","KWAPAKACHA","PUBLIC","tz-do"
"S0604","KIBAKWE","PUBLIC","tz-do"
"S0605","UHURU","PUBLIC","tz-sh"
"S0606","ZUNZULI","PUBLIC","tz-sh"
"S0607","LULUMBA","PUBLIC","tz-sd"
"S0608","NANYAMBA","PUBLIC","tz-mt"
"S0609","MATAI","PUBLIC","tz-rk"
"S0610","NKASI","PUBLIC","tz-rk"
"S0611","KABANGA","PUBLIC","tz-kr"
"S0612","KAGANGO","PUBLIC","tz-kr"
"S0613","NYAMPULUKANO","PUBLIC","tz-mw"
"S0614","NYERERE","PUBLIC","tz-kl"
"S0615","KIRANGARE","PUBLIC","tz-kl"
"S0616","MWANDIGA","PUBLIC","tz-km"
"S0617","LUSANGA","PUBLIC","tz-mo"
"S0619","MGETA","PUBLIC","tz-mo"
"S0624","RUBALE","PUBLIC","tz-kr"
"S0625","BALANGDALALU","PUBLIC","tz-my"
"S0633","TALLO","PUBLIC","tz-mw"
"S0636","ZOISSA","PUBLIC","tz-do"
"S0637","NYABIYONZA","PUBLIC","tz-kr"
"S0638","BUNAZI","PUBLIC","tz-kr"
"S0639","UDZUNGWA","PUBLIC","tz-ir"
"S0641","MEATU","PUBLIC","tz-si"
"S0643","DAREDA","PUBLIC","tz-my"
"S0648","MASASI DAY","PUBLIC","tz-mt"
"S0653","MWAKAVUTA","PUBLIC","tz-nj"
"S0654","RWAMBAIZI","PUBLIC","tz-kr"
"S0655","KIFANYA","PUBLIC","tz-nj"
"S0656","LYAMAHORO","PUBLIC","tz-kr"
"S0659","KIBENGU","PUBLIC","tz-ir"
"S0662","MWANZI","PUBLIC","tz-sd"
"S0669","UTETE","PUBLIC","tz-pw"
"S0670","NYANG'HWALE","PUBLIC","tz-ge"
"S0672","MKWAKWANI","PUBLIC","tz-tn"
"S0673","NANGWA","PUBLIC","tz-my"
"S0675","MBUGWE","PUBLIC","tz-my"
"S0676","MABIRA","PUBLIC","tz-kr"
"S0677","TANDAHIMBA","PUBLIC","tz-mt"
"S0678","MUGANGO","PUBLIC","tz-ma"
"S0680","MWAZYE","PUBLIC","tz-rk"
"S0683","KALENGA","PUBLIC","tz-ir"
"S0685","NAMABENGO","PUBLIC","tz-rv"
"S0686","CHATO","PUBLIC","tz-ge"
"S0689","ENDASAK","PUBLIC","tz-my"
"S0693","MANYARA","PUBLIC","tz-as"
"S0694","KANGA","PUBLIC","tz-mb"
"S0695","DODEANI TECH.","PUBLIC","tz-pn"
"S0697","KIGWE","PUBLIC","tz-do"
"S0699","DONGE","PUBLIC","tz-zn"
"S0700","KIDONGOCHEKUNDU","PUBLIC","tz-zw"
"S0702","IKWIRIRI","PUBLIC","tz-pw"
"S0704","NSHAMBA","PUBLIC","tz-kr"
"S0706","KALANGALALA","PUBLIC","tz-ge"
"S0707","KITETO","PUBLIC","tz-my"
"S0708","KIPINGO","PUBLIC","tz-mo"
"S0709","BUKONGO","PUBLIC","tz-mw"
"S0710","BINZA","PUBLIC","tz-si"
"S0711","KITOMONDO","PUBLIC","tz-pw"
"S0712","BARIADI","PUBLIC","tz-si"
"S0713","IGUNGA","PUBLIC","tz-tb"
"S0714","KABUKU","PUBLIC","tz-tn"
"S0715","ILONGERO","PUBLIC","tz-sd"
"S0720","MPITIMBI","PUBLIC","tz-rv"
"S0726","MBEKENYERA","PUBLIC","tz-li"
"S0732","MAHILO","PUBLIC","tz-rv"
"S0734","MATEKWE","PUBLIC","tz-li"
"S0735","KATUMBA","PUBLIC","tz-ka"
"S0736","WAWI","PUBLIC","tz-ps"
"S0737","KIWANI","PUBLIC","tz-ps"
"S0743","KAMBARAGE","PUBLIC","tz-ma"
"S0744","NANGA","PUBLIC","tz-tb"
"S0746","MNYAMBE","PUBLIC","tz-mt"
"S0750","OSHARA","PUBLIC","tz-kl"
"S0752","RUNZEWE","PUBLIC","tz-ge"
"S0753","BIIRABO","PUBLIC","tz-kr"
"S0754","URAMBO DAY","PUBLIC","tz-tb"
"S0755","MUKULAT","PUBLIC","tz-as"
"S0757","KYELA","PUBLIC","tz-mb"
"S0758","KIJOTA","PUBLIC","tz-sd"
"S0759","GAIRO","PUBLIC","tz-mo"
"S0760","BUKOLI","PUBLIC","tz-ge"
"S0761","BWISYA","PUBLIC","tz-mw"
"S0762","KOME","PUBLIC","tz-mw"
"S0764","IZIGO","PUBLIC","tz-kr"
"S0766","KIMAMBA","PUBLIC","tz-mo"
"S0767","MVOMERO","PUBLIC","tz-mo"
"S0769","MALAGARASI","PUBLIC","tz-km"
"S0770","SUMVE","PUBLIC","tz-mw"
"S0774","LUPA","PUBLIC","tz-mb"
"S0775","DUMILA","PUBLIC","tz-mo"
"S0776","MITOLE","PUBLIC","tz-li"
"S0778","SONGE","PUBLIC","tz-ma"
"S0779","RUKINDO","PUBLIC","tz-kr"
"S0781","ARUSHA DAY","PUBLIC","tz-as"
"S0782","MWIKA","PUBLIC","tz-kl"
"S0783","BEREKO","PUBLIC","tz-do"
"S0786","NDONO","PUBLIC","tz-tb"
"S0787","MSANGENI","PUBLIC","tz-kl"
"S0788","BUTURI","PUBLIC","tz-ma"
"S0789","NGULU","PUBLIC","tz-tb"
"S0792","MANGAKA","PUBLIC","tz-mt"
"S0793","MALINDI","PUBLIC","tz-kl"
"S0794","KINYALA","PUBLIC","tz-mb"
"S0795","KISALE","PUBLIC","tz-kl"
"S0796","MCHANGAMDOGO","PUBLIC","tz-pn"
"S0799","MONDO","PUBLIC","tz-do"
"S0801","MATOLA","PUBLIC","tz-nj"
"S0802","MAKANYA","PUBLIC","tz-kl"
"S0805","LUKULEDI","PUBLIC","tz-mt"
"S0808","MAZINDE DAY","PUBLIC","tz-tn"
"S0809","MAMBA","PUBLIC","tz-ka"
"S0810","CHARYA","PUBLIC","tz-ma"
"S0811","KIFARU","PUBLIC","tz-kl"
"S0812","MAHIWA","PUBLIC","tz-li"
"S0813","MAHIDA","PUBLIC","tz-kl"
"S0815","MBINGA","PUBLIC","tz-rv"
"S0816","KISELU","PUBLIC","tz-kl"
"S0817","PAUL BOMANI","PUBLIC","tz-mw"
"S0818","TARAKEA","PUBLIC","tz-kl"
"S0819","KIBAO","PUBLIC","tz-ir"
"S0820","MKUZI","PUBLIC","tz-tn"
"S0821","NYANDUGA","PUBLIC","tz-ma"
"S0824","IDETE","PUBLIC","tz-tb"
"S0826","MALAMPAKA","PUBLIC","tz-si"
"S0827","MASONYA","PUBLIC","tz-rv"
"S0828","MUBONDO","PUBLIC","tz-km"
"S0831","NANGWANDA GIRLS","PUBLIC","tz-mt"
"S0832","KIPONDA","PUBLIC","tz-zw"
"S0833","JANG'OMBE","PUBLIC","tz-zw"
"S0835","KENGEJA TECHNICAL","PUBLIC","tz-ps"
"S0836","KILUVYA","PUBLIC","tz-ds"
"S0837","SELOUS","PUBLIC","tz-rv"
"S0839","NGERENGERE DAY","PUBLIC","tz-mo"
"S0840","ISMANI","PUBLIC","tz-ir"
"S0842","LITEMBO","PUBLIC","tz-rv"
"S0845","KIGONIGONI","PUBLIC","tz-kl"
"S0846","UKOMBOZI","PUBLIC","tz-tb"
"S0847","MOGABIRI","PUBLIC","tz-ma"
"S0848","DAUDI","PUBLIC","tz-my"
"S0849","MOREMBE DAY","PUBLIC","tz-ma"
"S0850","MKOMBOZI","PUBLIC","tz-kl"
"S0851","USANGI DAY","PUBLIC","tz-kl"
"S0853","KIZWITE","PUBLIC","tz-rk"
"S0857","LONGIDO","PUBLIC","tz-as"
